2024-06-27 17:25:12,940 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_full_size_cropping",
    "fusion": false,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "rgb2"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "rgb2": "OMNIVORE"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_rgb2_MIX_DAA_1_20240627_015626.pth",
    "learning_rate": 0.0001,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-27 17:25:13,176 - INFO - Applying Augmentations
2024-06-27 17:25:13,183 - INFO - Applying Augmentations
2024-06-27 17:25:13,190 - INFO - Applying Augmentations
2024-06-27 17:25:13,190 - INFO - Training classifiers...
2024-06-27 17:25:13,268 - INFO - Training on the following GPUs [0]
2024-06-27 17:25:18,101 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-27 18:55:54,790 - INFO - Epoch 11, Val rgb - Loss: 0.0269, Accuracy: 0.7653, Balanced Accuracy: 0.6267
2024-06-27 18:55:54,792 - INFO - Epoch 11, Val rgb2 - Loss: 0.0272, Accuracy: 0.8137, Balanced Accuracy: 0.7228
2024-06-27 18:56:02,411 - INFO - Epoch 12, Train rgb - Loss: 0.0019, Accuracy: 0.9865, Balanced Accuracy: 0.9865
2024-06-27 18:56:02,522 - INFO - Epoch 12, Train rgb2 - Loss: 0.0013, Accuracy: 0.9884, Balanced Accuracy: 0.9884
2024-06-27 18:56:02,806 - INFO - Epoch 12, Val rgb - Loss: 0.0269, Accuracy: 0.7661, Balanced Accuracy: 0.6276
2024-06-27 18:56:02,809 - INFO - Epoch 12, Val rgb2 - Loss: 0.0276, Accuracy: 0.8137, Balanced Accuracy: 0.7198
2024-06-27 18:56:11,078 - INFO - Epoch 13, Train rgb - Loss: 0.0018, Accuracy: 0.9872, Balanced Accuracy: 0.9872
2024-06-27 18:56:11,230 - INFO - Epoch 13, Train rgb2 - Loss: 0.0012, Accuracy: 0.9889, Balanced Accuracy: 0.9889
2024-06-27 18:56:11,597 - INFO - Epoch 13, Val rgb - Loss: 0.0269, Accuracy: 0.7661, Balanced Accuracy: 0.6276
2024-06-27 18:56:11,601 - INFO - Epoch 13, Val rgb2 - Loss: 0.0279, Accuracy: 0.8130, Balanced Accuracy: 0.7192
2024-06-27 18:56:19,125 - INFO - Epoch 14, Train rgb - Loss: 0.0017, Accuracy: 0.9877, Balanced Accuracy: 0.9877
2024-06-27 18:56:19,201 - INFO - Epoch 14, Train rgb2 - Loss: 0.0012, Accuracy: 0.9891, Balanced Accuracy: 0.9891
2024-06-27 18:56:19,391 - INFO - Epoch 14, Val rgb - Loss: 0.0270, Accuracy: 0.7682, Balanced Accuracy: 0.6218
2024-06-27 18:56:19,394 - INFO - Epoch 14, Val rgb2 - Loss: 0.0283, Accuracy: 0.8123, Balanced Accuracy: 0.7161
2024-06-27 18:56:27,455 - INFO - Epoch 15, Train rgb - Loss: 0.0017, Accuracy: 0.9880, Balanced Accuracy: 0.9880
2024-06-27 18:56:27,591 - INFO - Epoch 15, Train rgb2 - Loss: 0.0011, Accuracy: 0.9894, Balanced Accuracy: 0.9894
2024-06-27 18:56:27,925 - INFO - Epoch 15, Val rgb - Loss: 0.0270, Accuracy: 0.7682, Balanced Accuracy: 0.6213
2024-06-27 18:56:27,928 - INFO - Epoch 15, Val rgb2 - Loss: 0.0286, Accuracy: 0.8144, Balanced Accuracy: 0.7170
2024-06-27 18:56:36,403 - INFO - Epoch 16, Train rgb - Loss: 0.0016, Accuracy: 0.9884, Balanced Accuracy: 0.9884
2024-06-27 18:56:36,499 - INFO - Epoch 16, Train rgb2 - Loss: 0.0011, Accuracy: 0.9897, Balanced Accuracy: 0.9897
2024-06-27 18:56:36,695 - INFO - Epoch 16, Val rgb - Loss: 0.0271, Accuracy: 0.7675, Balanced Accuracy: 0.6168
2024-06-27 18:56:36,698 - INFO - Epoch 16, Val rgb2 - Loss: 0.0289, Accuracy: 0.8159, Balanced Accuracy: 0.7174
2024-06-27 18:56:44,792 - INFO - Epoch 17, Train rgb - Loss: 0.0015, Accuracy: 0.9887, Balanced Accuracy: 0.9887
2024-06-27 18:56:44,918 - INFO - Epoch 17, Train rgb2 - Loss: 0.0011, Accuracy: 0.9900, Balanced Accuracy: 0.9900
2024-06-27 18:56:45,240 - INFO - Epoch 17, Val rgb - Loss: 0.0271, Accuracy: 0.7690, Balanced Accuracy: 0.6183
2024-06-27 18:56:45,244 - INFO - Epoch 17, Val rgb2 - Loss: 0.0292, Accuracy: 0.8152, Balanced Accuracy: 0.7137
2024-06-27 18:56:53,041 - INFO - Epoch 18, Train rgb - Loss: 0.0015, Accuracy: 0.9890, Balanced Accuracy: 0.9890
2024-06-27 18:56:53,112 - INFO - Epoch 18, Train rgb2 - Loss: 0.0011, Accuracy: 0.9902, Balanced Accuracy: 0.9902
2024-06-27 18:56:53,344 - INFO - Epoch 18, Val rgb - Loss: 0.0271, Accuracy: 0.7733, Balanced Accuracy: 0.6198
2024-06-27 18:56:53,347 - INFO - Epoch 18, Val rgb2 - Loss: 0.0295, Accuracy: 0.8152, Balanced Accuracy: 0.7137
2024-06-27 18:57:00,600 - INFO - Epoch 19, Train rgb - Loss: 0.0014, Accuracy: 0.9892, Balanced Accuracy: 0.9892
2024-06-27 18:57:00,719 - INFO - Epoch 19, Train rgb2 - Loss: 0.0010, Accuracy: 0.9904, Balanced Accuracy: 0.9904
2024-06-27 18:57:01,020 - INFO - Epoch 19, Val rgb - Loss: 0.0272, Accuracy: 0.7740, Balanced Accuracy: 0.6198
2024-06-27 18:57:01,023 - INFO - Epoch 19, Val rgb2 - Loss: 0.0297, Accuracy: 0.8137, Balanced Accuracy: 0.7058
2024-06-27 18:57:08,862 - INFO - Epoch 20, Train rgb - Loss: 0.0014, Accuracy: 0.9896, Balanced Accuracy: 0.9896
2024-06-27 18:57:08,935 - INFO - Epoch 20, Train rgb2 - Loss: 0.0010, Accuracy: 0.9906, Balanced Accuracy: 0.9906
2024-06-27 18:57:09,153 - INFO - Epoch 20, Val rgb - Loss: 0.0272, Accuracy: 0.7747, Balanced Accuracy: 0.6209
2024-06-27 18:57:09,156 - INFO - Epoch 20, Val rgb2 - Loss: 0.0300, Accuracy: 0.8137, Balanced Accuracy: 0.7058
2024-06-27 18:57:16,413 - INFO - Epoch 21, Train rgb - Loss: 0.0014, Accuracy: 0.9898, Balanced Accuracy: 0.9898
2024-06-27 18:57:16,543 - INFO - Epoch 21, Train rgb2 - Loss: 0.0010, Accuracy: 0.9907, Balanced Accuracy: 0.9907
2024-06-27 18:57:16,804 - INFO - Epoch 21, Val rgb - Loss: 0.0272, Accuracy: 0.7762, Balanced Accuracy: 0.6213
