2024-06-30 23:54:58,209 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_best_mix_fusion",
    "fusion": true,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "ir",
        "depth",
        "skeleton"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "ir": "OMNIVORE",
        "depth": "OMNIVORE",
        "skeleton": "CLIP-VIP"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_ir_depth_skeleton_MIX_DAA_1_20240629_004303.pth",
    "learning_rate": 1e-05,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-30 23:54:58,376 - INFO - Applying Augmentations
2024-06-30 23:54:58,380 - INFO - Applying Augmentations
2024-06-30 23:54:58,385 - INFO - Applying Augmentations
2024-06-30 23:54:58,386 - INFO - Training classifiers...
2024-06-30 23:54:58,437 - INFO - Training on the following GPUs [0]
2024-06-30 23:55:00,504 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-30 23:55:02,005 - INFO - Using depth mode summed_rgb_d_tokens
2024-07-01 02:01:44,864 - INFO - Epoch 26, Val - all - Loss: 1.2195, Accuracy: 0.8181, Balanced Accuracy: 0.6487
2024-07-01 02:02:02,756 - INFO - Epoch 27, Train - all - Loss: 0.0160, Accuracy: 0.9961, Balanced Accuracy: 0.9961
2024-07-01 02:02:02,843 - INFO - Epoch 27, Val - all - Loss: 1.2380, Accuracy: 0.8202, Balanced Accuracy: 0.6508
2024-07-01 02:02:19,924 - INFO - Epoch 28, Train - all - Loss: 0.0166, Accuracy: 0.9962, Balanced Accuracy: 0.9962
2024-07-01 02:02:20,018 - INFO - Epoch 28, Val - all - Loss: 1.2521, Accuracy: 0.8209, Balanced Accuracy: 0.6500
2024-07-01 02:02:37,443 - INFO - Epoch 29, Train - all - Loss: 0.0143, Accuracy: 0.9968, Balanced Accuracy: 0.9968
2024-07-01 02:02:37,517 - INFO - Epoch 29, Val - all - Loss: 1.2677, Accuracy: 0.8166, Balanced Accuracy: 0.6477
2024-07-01 02:02:55,636 - INFO - Epoch 30, Train - all - Loss: 0.0132, Accuracy: 0.9971, Balanced Accuracy: 0.9971
2024-07-01 02:02:55,745 - INFO - Epoch 30, Val - all - Loss: 1.2865, Accuracy: 0.8152, Balanced Accuracy: 0.6470
2024-07-01 02:03:15,204 - INFO - Epoch 31, Train - all - Loss: 0.0148, Accuracy: 0.9965, Balanced Accuracy: 0.9965
2024-07-01 02:03:15,274 - INFO - Epoch 31, Val - all - Loss: 1.3044, Accuracy: 0.8209, Balanced Accuracy: 0.6494
2024-07-01 02:03:31,720 - INFO - Epoch 32, Train - all - Loss: 0.0147, Accuracy: 0.9967, Balanced Accuracy: 0.9967
2024-07-01 02:03:31,801 - INFO - Epoch 32, Val - all - Loss: 1.3156, Accuracy: 0.8202, Balanced Accuracy: 0.6495
